Student_ID,Age,Gender,Academic_Level,Country,Avg_Daily_Usage_Hours,Most_Used_Platform,Affects_Academic_Performance,Sleep_Hours_Per_Night,Mental_Health_Score,Relationship_Status,Conflicts_Over_Social_Media,Addicted_Score
1,,Female,Undergraduate,Bangladesh,5.2,Instagram,Yes,6.5,6,In Relationship,3,8
2,120.0,Male,Graduate,India,2.1,Twitter,No,7.5,8,Single,0,3
3,-5.0,Female,Undergraduate,USA,6.0,TikTok,Yes,5.0,5,Complicated,4,9
4,18.0,Male,High School,UK,25.0,YouTube,No,7.0,7,Single,1,4
5,21.0,Male,Graduate,Canada,4.5,Facebook,Yes,20.0,6,In Relationship,2,7
6,19.0,,Undergraduate,Australia,7.2,Instagram,Yes,4.5,4,Complicated,5,9
7,23.0,Male,Graduate,Germany,1.5,LinkedIn,No,8.0,50,Single,0,2
8,20.0,Female,Undergraduate,Brazil,5.8,Snapchat,Yes,6.0,-1,In Relationship,2,8
9,18.0,Femail,High School,Japan,4.0,TikTok,No,6.5,7,Single,1,5
10,21.0,malee,Graduate,South Korea,3.3,Instagram,No,7.0,7,In Relationship,1,4
11,19.0,Male,Undergraduate,France,4.8,Snapchat,Yes,,5,Complicated,3,7
12,20.0,Female,Undergraduate,usa,5.5,TikTok,Yes,5.8,6,In Relationship,2,8
13,22.0,Male,Graduate,U.S.,2.8,LinkedIn,No,7.2,8,Single,1,4
14,18.0,Female,High School,United States,6.5,Instagram,Yes,5.5,5,Single,4,9
15,21.0,Male,Undergraduate,Russia,3.7,YouTube,No,6.8,7,In Relationship,2,5
16,20.0,Female,Undergraduate,China,4.2,TikTok,Yes,6.0,6,Complicated,3,7
17,24.0,Male,Graduate,Sweden,2.0,LinkedIn,No,7.8,8,Single,0,3
18,19.0,Female,High School,Norway,5.0,Instagram,Yes,5.7,5,In Relationship,3,8
19,21.0,Male,Undergraduate,Denmark,3.5,Facebook,No,6.7,7,Single,1,5
20,20.0,Female,Undergraduate,Netherlands,4.7,Snapchat,Yes,5.9,6,Complicated,3,7
21,18.0,Male,High School,Belgium,5.3,TikTok,Yes,5.5,5,Single,4,8
22,23.0,Female,Graduate,Switzerland,2.5,LinkedIn,No,7.3,8,In Relationship,1,4
23,19.0,Male,Undergraduate,Austria,4.9,Instagram,Yes,5.8,6,Complicated,3,7
24,20.0,Female,Undergraduate,Portugal,5.7,TikTok,Yes,5.4,5,Single,4,8
25,22.0,Male,Graduate,Greece,3.2,Facebook,No,6.9,7,In Relationship,2,5
26,19.0,Female,High School,Ireland,6.1,Instagram,Yes,5.2,5,Complicated,4,9
27,21.0,Male,Undergraduate,New Zealand,3.8,YouTube,No,6.6,7,Single,1,5
28,20.0,Female,Undergraduate,Singapore,4.4,TikTok,Yes,5.9,6,In Relationship,3,7
29,24.0,Male,Graduate,Malaysia,2.2,LinkedIn,No,7.4,8,Single,0,3
30,19.0,Female,High School,Thailand,5.9,Instagram,Yes,5.3,5,Complicated,4,8
31,21.0,Male,Undergraduate,Vietnam,3.6,Facebook,No,6.7,7,Single,1,5
32,20.0,Female,Undergraduate,Philippines,4.8,Snapchat,Yes,5.7,6,In Relationship,3,7
33,18.0,Male,High School,Indonesia,5.4,TikTok,Yes,5.4,5,Complicated,4,8
34,23.0,Female,Graduate,Taiwan,2.6,LinkedIn,No,7.2,8,Single,1,4
35,19.0,Male,Undergraduate,Hong Kong,4.7,Instagram,Yes,5.8,6,In Relationship,3,7
36,20.0,Female,Undergraduate,Turkey,5.6,TikTok,Yes,5.5,5,Complicated,4,8
37,22.0,Male,Graduate,Israel,3.1,Facebook,No,6.8,7,Single,1,5
38,19.0,Female,High School,UAE,6.2,Instagram,Yes,5.1,5,In Relationship,4,9
39,21.0,Male,Undergraduate,Egypt,3.9,YouTube,No,6.5,7,Complicated,2,6
40,20.0,Female,Undergraduate,Morocco,4.5,TikTok,Yes,5.8,6,Single,3,7
41,24.0,Male,Graduate,South Africa,2.3,LinkedIn,No,7.3,8,In Relationship,1,4
42,19.0,Female,High School,Nigeria,5.8,Instagram,Yes,5.4,5,Complicated,4,8
43,21.0,Male,Undergraduate,Kenya,3.7,Facebook,No,6.6,7,Single,2,5
44,20.0,Female,Undergraduate,Ghana,4.6,Snapchat,Yes,5.7,6,In Relationship,3,7
45,18.0,Male,High School,Argentina,5.5,TikTok,Yes,5.3,5,Single,4,8
46,23.0,Female,Graduate,Chile,2.7,LinkedIn,No,7.1,8,Complicated,1,4
47,19.0,Male,Undergraduate,Colombia,4.8,Instagram,Yes,5.9,6,In Relationship,3,7
48,20.0,Female,Undergraduate,Peru,5.5,TikTok,Yes,5.6,5,Single,4,8
49,22.0,Male,Graduate,Venezuela,3.3,Facebook,No,6.7,7,In Relationship,2,5
50,19.0,Female,High School,Ecuador,6.3,Instagram,Yes,5.2,5,Complicated,4,9
51,21.0,Male,Undergraduate,Uruguay,3.8,YouTube,No,6.4,7,Single,2,6
52,20.0,Female,Undergraduate,Paraguay,4.7,TikTok,Yes,5.8,6,In Relationship,3,7
53,24.0,Male,Graduate,Bolivia,2.4,LinkedIn,No,7.2,8,Complicated,1,4
54,19.0,Female,High School,Costa Rica,5.7,Instagram,Yes,5.5,5,Single,4,8
55,21.0,Male,Undergraduate,Panama,3.6,Facebook,No,6.5,7,In Relationship,2,5
56,20.0,Female,Undergraduate,Jamaica,4.9,Snapchat,Yes,5.6,6,Complicated,3,7
57,18.0,Male,High School,Trinidad,5.6,TikTok,Yes,5.2,5,Single,4,8
58,23.0,Female,Graduate,Bahamas,2.8,LinkedIn,No,7.0,8,In Relationship,1,4
59,19.0,Male,Undergraduate,Iceland,4.6,Instagram,Yes,5.9,6,Complicated,3,7
60,20.0,Female,Undergraduate,Finland,5.4,TikTok,Yes,5.7,5,Single,4,8
61,22.0,Male,Graduate,Poland,3.1,Facebook,No,7.1,7,Single,1,5
62,19.0,Female,Undergraduate,Romania,5.6,Instagram,Yes,5.6,5,In Relationship,3,8
63,20.0,Male,Undergraduate,Hungary,4.2,TikTok,Yes,6.0,6,Complicated,3,7
64,18.0,Female,High School,Czech Republic,6.1,Snapchat,Yes,5.2,4,Single,4,9
65,23.0,Male,Graduate,Slovakia,2.3,LinkedIn,No,7.4,8,In Relationship,1,3
66,21.0,Female,Undergraduate,Croatia,4.8,Instagram,Yes,5.8,6,Single,3,7
67,20.0,Male,Undergraduate,Serbia,3.9,YouTube,No,6.5,7,Complicated,2,6
68,19.0,Female,High School,Slovenia,5.7,TikTok,Yes,5.4,5,In Relationship,4,8
69,22.0,Male,Graduate,Bulgaria,2.8,LinkedIn,No,7.2,8,Single,1,4
70,20.0,Female,Undergraduate,Estonia,4.5,Instagram,Yes,5.9,6,Complicated,3,7
71,18.0,Male,High School,Latvia,5.4,Snapchat,Yes,5.5,5,Single,4,8
72,21.0,Female,Graduate,Lithuania,3.2,Facebook,No,6.8,7,In Relationship,2,5
73,19.0,Male,Undergraduate,Ukraine,4.9,TikTok,Yes,5.7,6,Complicated,3,7
74,20.0,Female,Undergraduate,Moldova,5.8,Instagram,Yes,5.3,5,Single,4,8
75,23.0,Male,Graduate,Belarus,2.5,LinkedIn,No,7.3,8,In Relationship,1,4
76,21.0,Female,Undergraduate,Kazakhstan,4.6,Snapchat,Yes,5.8,6,Single,3,7
77,19.0,Male,High School,Uzbekistan,5.5,TikTok,Yes,5.4,5,Complicated,4,8
78,22.0,Female,Graduate,Kyrgyzstan,2.9,Facebook,No,7.0,7,In Relationship,2,5
79,20.0,Male,Undergraduate,Tajikistan,4.7,YouTube,Yes,5.9,6,Single,3,7
80,18.0,Female,High School,Armenia,5.9,Instagram,Yes,5.2,5,Complicated,4,9
81,21.0,Male,Graduate,Georgia,3.0,LinkedIn,No,7.1,8,In Relationship,1,4
82,19.0,Female,Undergraduate,Azerbaijan,4.8,TikTok,Yes,5.7,6,Single,3,7
83,20.0,Male,Undergraduate,Cyprus,3.8,Facebook,No,6.6,7,Complicated,2,6
84,22.0,Female,Graduate,Malta,2.7,LinkedIn,No,7.2,8,In Relationship,1,4
85,18.0,Male,High School,Luxembourg,5.6,Snapchat,Yes,5.3,5,Single,4,8
86,21.0,Female,Undergraduate,Monaco,4.5,Instagram,Yes,5.8,6,Complicated,3,7
87,19.0,Male,High School,Andorra,5.3,TikTok,Yes,5.5,5,In Relationship,4,8
88,23.0,Female,Graduate,San Marino,2.6,LinkedIn,No,7.3,8,Single,1,4
89,20.0,Male,Undergraduate,Vatican City,4.4,YouTube,Yes,6.0,6,Complicated,3,7
90,18.0,Female,High School,Liechtenstein,5.8,Instagram,Yes,5.2,5,Single,4,9
91,22.0,Male,Graduate,Montenegro,2.9,Facebook,No,7.0,7,In Relationship,2,5
92,19.0,Female,Undergraduate,Albania,4.7,TikTok,Yes,5.8,6,Complicated,3,7
93,21.0,Male,Undergraduate,North Macedonia,3.7,Snapchat,No,6.5,7,Single,2,6
94,20.0,Female,High School,Kosovo,5.5,Instagram,Yes,5.4,5,In Relationship,4,8
95,23.0,Male,Graduate,Bosnia,2.4,LinkedIn,No,7.4,8,Complicated,1,4
96,19.0,Female,Undergraduate,Qatar,4.9,TikTok,Yes,5.7,6,Single,3,7
97,18.0,Male,High School,Kuwait,5.7,Snapchat,Yes,5.3,5,In Relationship,4,8
98,22.0,Female,Graduate,Bahrain,2.8,LinkedIn,No,7.1,8,Complicated,1,4
99,20.0,Male,Undergraduate,Oman,4.6,Instagram,Yes,5.9,6,Single,3,7
100,21.0,Female,Undergraduate,Jordan,5.4,TikTok,Yes,5.5,5,In Relationship,4,8
101,19.0,Male,High School,Lebanon,5.8,YouTube,Yes,5.2,5,Complicated,4,9
102,23.0,Female,Graduate,Iraq,2.5,LinkedIn,No,7.3,8,Single,1,4
103,20.0,Male,Undergraduate,Yemen,4.7,Facebook,Yes,5.8,6,In Relationship,3,7
104,18.0,Female,High School,Syria,5.6,Instagram,Yes,5.4,5,Single,4,8
105,22.0,Male,Graduate,Afghanistan,2.9,LinkedIn,No,7.0,7,Complicated,2,5
106,19.0,Female,Undergraduate,Pakistan,4.8,TikTok,Yes,5.7,6,In Relationship,3,7
107,21.0,Male,Undergraduate,Nepal,3.8,YouTube,No,6.6,7,Single,2,6
108,20.0,Female,High School,Bhutan,5.5,Snapchat,Yes,5.5,5,Complicated,4,8
109,23.0,Male,Graduate,Sri Lanka,2.6,LinkedIn,No,7.2,8,In Relationship,1,4
110,19.0,Female,Undergraduate,Maldives,4.9,Instagram,Yes,5.8,6,Single,3,7
111,20.0,Male,Undergraduate,Bangladesh,6.1,Instagram,Yes,6.2,5,Single,4,8
112,21.0,Female,Undergraduate,India,5.8,TikTok,Yes,5.9,6,In Relationship,3,7
113,19.0,Male,Undergraduate,Nepal,4.9,Facebook,No,7.1,7,Single,2,5
114,22.0,Female,Graduate,Pakistan,5.5,Instagram,Yes,6.0,5,Single,4,8
115,20.0,Male,Undergraduate,Sri Lanka,5.2,TikTok,Yes,6.3,6,In Relationship,3,7
116,19.0,Female,Undergraduate,Maldives,4.8,Instagram,No,7.2,8,Single,2,5
117,21.0,Male,Graduate,Bangladesh,6.0,Facebook,Yes,5.8,5,In Relationship,4,8
118,20.0,Female,Undergraduate,India,5.7,Instagram,Yes,6.1,6,Single,3,7
119,22.0,Male,Graduate,Nepal,4.7,TikTok,No,7.3,7,Single,2,5
120,19.0,Female,Undergraduate,Pakistan,5.4,Instagram,Yes,6.2,5,In Relationship,4,8
121,20.0,Male,Undergraduate,Sri Lanka,5.9,Facebook,Yes,5.9,6,Single,3,7
122,21.0,Female,Graduate,Maldives,4.6,Instagram,No,7.4,8,In Relationship,2,5
123,19.0,Male,Undergraduate,Bangladesh,5.3,TikTok,Yes,6.3,5,Single,4,8
124,22.0,Female,Graduate,India,5.8,Instagram,Yes,5.8,6,In Relationship,3,7
125,20.0,Male,Undergraduate,Nepal,4.5,Facebook,No,7.5,7,Single,2,5
126,21.0,Female,Graduate,Pakistan,5.2,Instagram,Yes,6.4,5,In Relationship,4,8
127,19.0,Male,Undergraduate,Sri Lanka,5.7,TikTok,Yes,5.7,6,Single,3,7
128,20.0,Female,Undergraduate,Maldives,4.4,Instagram,No,7.6,8,In Relationship,2,5
129,22.0,Male,Graduate,Bangladesh,5.1,Facebook,Yes,6.5,5,Single,4,8
130,21.0,Female,Graduate,India,5.6,Instagram,Yes,5.6,6,In Relationship,3,7
131,19.0,Male,Undergraduate,Nepal,4.3,TikTok,No,7.7,7,Single,2,5
132,20.0,Female,Undergraduate,Pakistan,5.0,Instagram,Yes,6.6,5,In Relationship,4,8
133,22.0,Male,Graduate,Sri Lanka,5.5,Facebook,Yes,5.5,6,Single,3,7
134,21.0,Female,Graduate,Maldives,4.2,Instagram,No,7.8,8,In Relationship,2,5
135,19.0,Male,Undergraduate,Bangladesh,4.9,TikTok,Yes,6.7,5,Single,4,8
136,20.0,Female,Undergraduate,India,5.4,Instagram,Yes,5.4,6,In Relationship,3,7
137,22.0,Male,Graduate,Nepal,4.1,Facebook,No,7.9,7,Single,2,5
138,21.0,Female,Graduate,Pakistan,4.8,Instagram,Yes,6.8,5,In Relationship,4,8
139,19.0,Male,Undergraduate,Sri Lanka,5.3,TikTok,Yes,5.3,6,Single,3,7
140,20.0,Female,Undergraduate,Maldives,4.0,Instagram,No,8.0,8,In Relationship,2,5
141,22.0,Male,Graduate,Bangladesh,4.7,Facebook,Yes,6.9,5,Single,4,8
142,21.0,Female,Graduate,India,5.2,Instagram,Yes,5.2,6,In Relationship,3,7
143,19.0,Male,Undergraduate,Nepal,3.9,TikTok,No,8.1,7,Single,2,5
144,20.0,Female,Undergraduate,Pakistan,4.6,Instagram,Yes,7.0,5,In Relationship,4,8
145,22.0,Male,Graduate,Sri Lanka,5.1,Facebook,Yes,5.1,6,Single,3,7
146,21.0,Female,Graduate,Maldives,3.8,Instagram,No,8.2,8,In Relationship,2,5
147,19.0,Male,Undergraduate,Bangladesh,4.5,TikTok,Yes,7.1,5,Single,4,8
148,20.0,Female,Undergraduate,India,5.0,Instagram,Yes,5.0,6,In Relationship,3,7
149,22.0,Male,Graduate,Nepal,3.7,Facebook,No,8.3,7,Single,2,5
150,21.0,Female,Graduate,Pakistan,4.4,Instagram,Yes,7.2,5,In Relationship,4,8
151,19.0,Male,Undergraduate,Sri Lanka,4.9,TikTok,Yes,4.9,6,Single,3,7
152,20.0,Female,Undergraduate,Maldives,3.6,Instagram,No,8.4,8,In Relationship,2,5
153,22.0,Male,Graduate,Bangladesh,4.3,Facebook,Yes,7.3,5,Single,4,8
154,21.0,Female,Graduate,India,4.8,Instagram,Yes,4.8,6,In Relationship,3,7
155,19.0,Male,Undergraduate,Nepal,3.5,TikTok,No,8.5,7,Single,2,5
156,20.0,Female,Undergraduate,Pakistan,4.2,Instagram,Yes,7.4,5,In Relationship,4,8
157,22.0,Male,Graduate,Sri Lanka,4.7,Facebook,Yes,4.7,6,Single,3,7
158,21.0,Female,Graduate,Maldives,3.4,Instagram,No,8.6,8,In Relationship,2,5
159,19.0,Male,Undergraduate,Bangladesh,4.1,TikTok,Yes,7.5,5,Single,4,8
160,20.0,Female,Undergraduate,India,4.6,Instagram,Yes,4.6,6,In Relationship,3,7
161,19.0,Female,Undergraduate,Bangladesh,5.3,Instagram,Yes,6.1,5,Single,3,7
162,21.0,Male,Graduate,India,4.8,Facebook,No,7.2,7,In Relationship,2,6
163,20.0,Female,Undergraduate,Nepal,5.5,TikTok,Yes,5.9,6,Single,4,8
164,22.0,Male,Graduate,Pakistan,4.7,Instagram,Yes,6.3,5,In Relationship,3,7
165,19.0,Female,Undergraduate,Sri Lanka,5.1,Facebook,No,7.0,7,Single,2,5
166,21.0,Male,Graduate,Maldives,5.4,TikTok,Yes,6.0,6,In Relationship,4,8
167,20.0,Female,Undergraduate,Bangladesh,4.9,Instagram,Yes,6.4,5,Single,3,7
168,22.0,Male,Graduate,India,5.2,Facebook,No,7.1,7,In Relationship,2,6
169,19.0,Female,Undergraduate,Nepal,5.6,TikTok,Yes,5.8,6,Single,4,8
170,21.0,Male,Graduate,Pakistan,4.6,Instagram,Yes,6.5,5,In Relationship,3,7
171,20.0,Female,Undergraduate,Sri Lanka,5.0,Facebook,No,7.3,7,Single,2,5
172,22.0,Male,Graduate,Maldives,5.3,TikTok,Yes,5.7,6,In Relationship,4,8
173,19.0,Female,Undergraduate,Bangladesh,4.8,Instagram,Yes,6.6,5,Single,3,7
174,21.0,Male,Graduate,India,5.1,Facebook,No,7.4,7,In Relationship,2,6
175,20.0,Female,Undergraduate,Nepal,5.7,TikTok,Yes,5.6,6,Single,4,8
176,22.0,Male,Graduate,Pakistan,4.5,Instagram,Yes,6.7,5,In Relationship,3,7
177,19.0,Female,Undergraduate,Sri Lanka,4.9,Facebook,No,7.5,7,Single,2,5
178,21.0,Male,Graduate,Maldives,5.2,TikTok,Yes,5.5,6,In Relationship,4,8
179,20.0,Female,Undergraduate,Bangladesh,4.7,Instagram,Yes,6.8,5,Single,3,7
180,22.0,Male,Graduate,India,5.0,Facebook,No,7.6,7,In Relationship,2,6
181,19.0,Female,Undergraduate,Nepal,5.8,TikTok,Yes,5.4,6,Single,4,8
182,21.0,Male,Graduate,Pakistan,4.4,Instagram,Yes,6.9,5,In Relationship,3,7
183,20.0,Female,Undergraduate,Sri Lanka,4.8,Facebook,No,7.7,7,Single,2,5
184,22.0,Male,Graduate,Maldives,5.1,TikTok,Yes,5.3,6,In Relationship,4,8
185,19.0,Female,Undergraduate,Bangladesh,4.6,Instagram,Yes,7.0,5,Single,3,7
186,21.0,Male,Graduate,India,4.9,Facebook,No,7.8,7,In Relationship,2,6
187,20.0,Female,Undergraduate,Nepal,5.9,TikTok,Yes,5.2,6,Single,4,8
188,22.0,Male,Graduate,Pakistan,4.3,Instagram,Yes,7.1,5,In Relationship,3,7
189,19.0,Female,Undergraduate,Sri Lanka,4.7,Facebook,No,7.9,7,Single,2,5
190,21.0,Male,Graduate,Maldives,5.0,TikTok,Yes,5.1,6,In Relationship,4,8
191,20.0,Female,Undergraduate,Bangladesh,4.5,Instagram,Yes,7.2,5,Single,3,7
192,22.0,Male,Graduate,India,4.8,Facebook,No,8.0,7,In Relationship,2,6
193,19.0,Female,Undergraduate,Nepal,6.0,TikTok,Yes,5.0,6,Single,4,8
194,21.0,Male,Graduate,Pakistan,4.2,Instagram,Yes,7.3,5,In Relationship,3,7
195,20.0,Female,Undergraduate,Sri Lanka,4.6,Facebook,No,8.1,7,Single,2,5
196,22.0,Male,Graduate,Maldives,4.9,TikTok,Yes,4.9,6,In Relationship,4,8
197,19.0,Female,Undergraduate,Bangladesh,4.4,Instagram,Yes,7.4,5,Single,3,7
198,21.0,Male,Graduate,India,4.7,Facebook,No,8.2,7,In Relationship,2,6
199,20.0,Female,Undergraduate,Nepal,6.1,TikTok,Yes,4.8,6,Single,4,8
200,22.0,Male,Graduate,Pakistan,4.1,Instagram,Yes,7.5,5,In Relationship,3,7
201,19.0,Female,Undergraduate,Sri Lanka,4.5,Facebook,No,8.3,7,Single,2,5
202,21.0,Male,Graduate,Maldives,4.8,TikTok,Yes,4.7,6,In Relationship,4,8
203,20.0,Female,Undergraduate,Bangladesh,4.3,Instagram,Yes,7.6,5,Single,3,7
204,22.0,Male,Graduate,India,4.6,Facebook,No,8.4,7,In Relationship,2,6
205,19.0,Female,Undergraduate,Nepal,6.2,TikTok,Yes,4.6,6,Single,4,8
206,21.0,Male,Graduate,Pakistan,4.0,Instagram,Yes,7.7,5,In Relationship,3,7
207,20.0,Female,Undergraduate,Sri Lanka,4.4,Facebook,No,8.5,7,Single,2,5
208,22.0,Male,Graduate,Maldives,4.7,TikTok,Yes,4.5,6,In Relationship,4,8
209,19.0,Female,Undergraduate,Bangladesh,4.2,Instagram,Yes,7.8,5,Single,3,7
210,21.0,Male,Graduate,India,4.5,Facebook,No,8.6,7,In Relationship,2,6
211,20.0,Female,Undergraduate,Nepal,6.3,TikTok,Yes,4.4,6,Single,4,8
212,22.0,Male,Graduate,Pakistan,3.9,Instagram,Yes,7.9,5,In Relationship,3,7
213,19.0,Female,Undergraduate,Sri Lanka,4.3,Facebook,No,8.7,7,Single,2,5
214,21.0,Male,Graduate,Maldives,4.6,TikTok,Yes,4.3,6,In Relationship,4,8
215,20.0,Female,Undergraduate,Bangladesh,4.1,Instagram,Yes,8.0,5,Single,3,7
216,22.0,Male,Graduate,India,4.4,Facebook,No,8.8,7,In Relationship,2,6
217,19.0,Female,Undergraduate,Nepal,6.4,TikTok,Yes,4.2,6,Single,4,8
218,21.0,Male,Graduate,Pakistan,3.8,Instagram,Yes,8.1,5,In Relationship,3,7
219,20.0,Female,Undergraduate,Sri Lanka,4.2,Facebook,No,8.9,7,Single,2,5
220,22.0,Male,Graduate,Maldives,4.5,TikTok,Yes,4.1,6,In Relationship,4,8
221,19.0,Female,Undergraduate,USA,6.5,Instagram,Yes,6.0,5,Single,4,9
222,21.0,Male,Graduate,UK,5.8,TikTok,Yes,6.5,6,In Relationship,3,7
223,20.0,Female,Undergraduate,Australia,4.5,Instagram,No,7.5,8,Single,2,5
224,22.0,Male,Graduate,Germany,4.2,Facebook,No,7.8,7,In Relationship,2,4
225,19.0,Female,Undergraduate,Japan,3.8,LINE,No,7.9,8,Single,1,3
226,21.0,Male,Graduate,Italy,5.5,Instagram,Yes,6.8,6,Single,3,7
227,20.0,Female,Undergraduate,South Korea,5.2,KakaoTalk,Yes,6.5,6,In Relationship,3,6
228,22.0,Male,Graduate,Russia,4.8,VKontakte,No,7.2,7,Single,2,5
229,19.0,Female,Undergraduate,USA,7.0,TikTok,Yes,5.8,4,In Relationship,4,9
230,21.0,Male,Graduate,UK,5.5,Instagram,Yes,6.7,6,Single,3,7
